AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,Annual_Pct10,Annual_Pct25,Annual_Median,Annual_Pct75,Annual_Pct90,Annual_Mean
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",33280,34680,36720,46200,62880,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",41710,67090,95840,131870,188730,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",32100,57390,85080,128140,191320,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",105020,154280,216290,#,#,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",105020,154280,216290,#,#,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",31330,56480,82920,125260,180050,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",31330,56480,82920,125260,180050,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",84990,109200,143140,174700,221590,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",87860,109200,142480,174020,222700,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",92360,119840,151840,177590,225980,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",64590,87500,110410,149470,207840,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",54730,82400,105590,128300,185760,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",58490,88180,103300,114480,185810,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",39490,80630,111170,131430,185760,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",98870,120420,150140,206820,#,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",98870,120420,150140,206820,#,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",91040,118630,156780,223290,#,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",91040,118630,156780,223290,#,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",57790,80000,98300,125970,149290,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",57790,80000,98300,125970,149290,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",69120,103760,133550,173070,204420,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",69120,103760,133550,173070,204420,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",58340,75800,102810,132360,166930,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",58340,75800,102810,132360,166930,
